Code Géographique;Région;Département;Libellé Géographique;Coordonnees;année;Naissances
59044;31;59;Baisieux;50.6111718868, 3.24121907398;2009;68
59044;31;59;Baisieux;50.6111718868, 3.24121907398;2011;54
59044;31;59;Baisieux;50.6111718868, 3.24121907398;2013;55
59049;31;59;Bantouzelle;50.0579473391, 3.22511810175;2011;7
59054;31;59;Bavinchove;50.7749510357, 2.44160500507;2010;12
59054;31;59;Bavinchove;50.7749510357, 2.44160500507;2005;11
59054;31;59;Bavinchove;50.7749510357, 2.44160500507;2013;8
59055;31;59;Bazuel;50.0816021977, 3.59590423049;2009;6
59062;31;59;Beaurieux;50.1779588737, 4.13702062275;2008;1
59064;31;59;Bellaing;50.3659312022, 3.42553238229;2011;11
59069;31;59;Bermerain;50.2575420594, 3.5398919082;2008;10
59069;31;59;Bermerain;50.2575420594, 3.5398919082;2011;18
59071;31;59;Bersée;50.4804538835, 3.15078397856;2013;20
59071;31;59;Bersée;50.4804538835, 3.15078397856;2006;22
59073;31;59;Berthen;50.7779383016, 2.6875622719;2005;6
59074;31;59;Bertry;50.0823963526, 3.43983505864;2006;31
59076;31;59;Bettignies;50.3323628525, 3.9686190609;2003;0
59077;31;59;Bettrechies;50.3221407699, 3.74013412317;2009;5
59077;31;59;Bettrechies;50.3221407699, 3.74013412317;2006;0
59085;31;59;Blécourt;50.2175061105, 3.21286001901;2005;1
59091;31;59;Borre;50.731528018, 2.58086143092;2012;8
59099;31;59;Bousies;50.151363705, 3.61511089589;2009;19
59100;31;59;Bousignies;50.4302087604, 3.35488860191;2012;2
59103;31;59;Boussières-sur-Sambre;50.2410266122, 3.8784480036;2009;5
59103;31;59;Boussières-sur-Sambre;50.2410266122, 3.8784480036;2004;4
59104;31;59;Boussois;50.2948725712, 4.04711513653;2012;44
59108;31;59;Briastre;50.154815937, 3.48675100947;2003;7
59109;31;59;Brillon;50.4339939197, 3.33534225599;2010;3
59111;31;59;Broxeele;50.8279362343, 2.32136721551;2009;4
59121;31;59;Cagnoncles;50.185423787, 3.31868765658;2013;9
59124;31;59;Camphin-en-Pévèle;50.5923766053, 3.25767476267;2013;27
59127;31;59;Capelle;50.2401009671, 3.56039393735;2004;1
59128;31;59;Capinghem;50.6474745374, 2.96473852343;2009;19
59129;31;59;Cappelle-en-Pévèle;50.5045434166, 3.17433068381;2013;28
59130;31;59;Cappelle-Brouck;50.8938368005, 2.22204306272;2008;11
59363;31;59;Louvignies-Quesnoy;50.2165903097, 3.64008191069;2011;11
59377;31;59;Marcoing;50.1144749853, 3.17343200113;2004;25
59381;31;59;Maresches;50.2940290785, 3.57606019881;2004;8
59382;31;59;Maretz;50.0450861132, 3.42038871212;2006;22
59383;31;59;Marly;50.3452442077, 3.55000999792;2005;163
59388;31;59;Marquillies;50.5507925122, 2.86815833452;2007;20
59390;31;59;Masny;50.341241582, 3.19548470018;2005;68
59391;31;59;Mastaing;50.3064012156, 3.29792589761;2004;16
59399;31;59;Merris;50.7178435961, 2.6572770613;2009;15
59399;31;59;Merris;50.7178435961, 2.6572770613;2007;13
59401;31;59;Méteren;50.7479005121, 2.67634884839;2012;22
59402;31;59;Millam;50.8559210958, 2.25120770329;2003;10
59402;31;59;Millam;50.8559210958, 2.25120770329;2004;7
59403;31;59;Millonfosse;50.4291924594, 3.37701536636;2008;4
59403;31;59;Millonfosse;50.4291924594, 3.37701536636;2013;4
59405;31;59;Moeuvres;50.1602158423, 3.06781891746;2011;7
59406;31;59;Monceau-Saint-Waast;50.1717846537, 3.85726023625;2007;3
59409;31;59;Monchecourt;50.3061963745, 3.21073984637;2012;32
59414;31;59;Montigny-en-Ostrevent;50.3682405226, 3.18011986506;2007;60
59414;31;59;Montigny-en-Ostrevent;50.3682405226, 3.18011986506;2006;51
59415;31;59;Montrécourt;50.2256590135, 3.44600124957;2011;1
59421;31;59;Mouvaux;50.7041016348, 3.13593215066;2006;169
59424;31;59;Neuf-Mesnil;50.2653663974, 3.90941211198;2009;20
59425;31;59;Neuville-en-Avesnois;50.1995093719, 3.57904088445;2008;2
